subject_id,subject_alias,session,condition,sequence,run,online_acc,offline_run_acc,offline_sess_acc,Spectral_Saliency,Spatial_Saliency
35,S1,s1,B,Seq_BA,1,0.5250,0.6094,0.5672,28.6400,38.3900
35,S1,s1,B,Seq_BA,2,0.5250,0.6141,0.5672,39.0300,30.0600
35,S1,s1,B,Seq_BA,3,0.6000,0.6141,0.5672,32.3600,42.1400
35,S1,s1,B,Seq_BA,4,0.6500,0.6594,0.5672,37.1100,43.1900
35,S1,s1,B,Seq_BA,5,0.6000,0.5969,0.5672,21.5300,39.6600
35,S1,s1,B,Seq_BA,6,0.6000,0.5484,0.5672,23.8000,41.6300
35,S1,s1,B,Seq_BA,7,0.5750,0.6031,0.5672,18.8700,18.1100
35,S1,s2,A,Seq_BA,1,0.5500,0.6094,0.5806,15.2800,37.1300
35,S1,s2,A,Seq_BA,2,0.5000,0.5906,0.5806,30.5400,48.1700
35,S1,s2,A,Seq_BA,3,0.5250,0.6828,0.5806,4.2300,62.5300
35,S1,s2,A,Seq_BA,4,0.5500,0.6594,0.5806,40.7000,26.5500
35,S1,s2,A,Seq_BA,5,0.5750,0.5609,0.5806,18.8800,29.2100
35,S1,s2,A,Seq_BA,6,0.5250,0.5891,0.5806,22.7100,43.5700
35,S1,s2,A,Seq_BA,7,0.5000,0.6422,0.5806,59.6100,33.8000
37,S2,s1,A,Seq_AB,1,0.4500,0.6875,0.7719,25.9700,29.9000
37,S2,s1,A,Seq_AB,2,0.5000,0.5672,0.7719,15.7600,44.4000
37,S2,s1,A,Seq_AB,3,0.6000,0.8578,0.7719,37.8300,29.5000
37,S2,s1,A,Seq_AB,4,0.6000,0.7859,0.7719,55.3500,16.7400
37,S2,s1,A,Seq_AB,5,0.6250,0.7219,0.7719,29.4200,37.6100
37,S2,s1,A,Seq_AB,6,0.9500,1.0000,0.7719,78.4900,53.5300
37,S2,s1,A,Seq_AB,7,0.8974,1.0000,0.7719,79.9000,23.6700
37,S2,s2,B,Seq_AB,1,,,0.9740,,
37,S2,s2,B,Seq_AB,2,0.5500,0.8703,0.9740,37.9000,51.8600
37,S2,s2,B,Seq_AB,3,0.9000,0.9906,0.9740,68.5300,39.8100
37,S2,s2,B,Seq_AB,4,0.9750,0.9969,0.9740,75.4100,43.7000
37,S2,s2,B,Seq_AB,5,0.9250,1.0000,0.9740,70.4400,35.9500
37,S2,s2,B,Seq_AB,6,0.9500,1.0000,0.9740,76.4300,44.1400
37,S2,s2,B,Seq_AB,7,0.9750,1.0000,0.9740,80.4500,29.0800
38,S3,s1,B,Seq_BA,1,0.4750,0.5703,0.5982,23.9400,34.1600
38,S3,s1,B,Seq_BA,2,0.5000,0.7016,0.5982,39.7600,50.5500
38,S3,s1,B,Seq_BA,3,0.5000,0.5734,0.5982,50.6200,37.7200
38,S3,s1,B,Seq_BA,4,0.5250,0.6453,0.5982,52.7500,40.1600
38,S3,s1,B,Seq_BA,5,0.5000,0.6266,0.5982,21.8500,34.7400
38,S3,s1,B,Seq_BA,6,0.5750,0.7406,0.5982,34.8400,50.6100
38,S3,s1,B,Seq_BA,7,0.5250,0.7047,0.5982,27.4400,47.0200
38,S3,s2,A,Seq_BA,1,0.6000,0.5469,0.5946,32.4800,19.2400
38,S3,s2,A,Seq_BA,2,0.5000,0.6000,0.5946,39.7100,33.9900
38,S3,s2,A,Seq_BA,3,0.5641,0.6938,0.5946,52.4500,57.7300
38,S3,s2,A,Seq_BA,4,0.4250,0.7391,0.5946,30.2700,40.5900
38,S3,s2,A,Seq_BA,5,0.5250,0.7406,0.5946,53.2900,33.0700
38,S3,s2,A,Seq_BA,6,0.6000,0.5969,0.5946,79.1400,57.8700
38,S3,s2,A,Seq_BA,7,0.5750,0.5938,0.5946,24.2100,32.4700
40,S4,s1,B,Seq_BA,1,0.5750,0.5641,0.5741,28.1300,38.9100
40,S4,s1,B,Seq_BA,2,0.5250,0.6547,0.5741,31.7100,48.6500
40,S4,s1,B,Seq_BA,3,0.5000,0.5891,0.5741,23.7200,36.2800
40,S4,s1,B,Seq_BA,4,0.5250,0.5938,0.5741,37.6600,36.1300
40,S4,s1,B,Seq_BA,5,0.6000,0.6406,0.5741,16.4000,29.3300
40,S4,s1,B,Seq_BA,6,0.5000,0.5281,0.5741,19.6500,32.1400
40,S4,s1,B,Seq_BA,7,0.5250,0.6391,0.5741,17.6900,32.6800
40,S4,s2,A,Seq_BA,1,0.5500,0.5859,0.5685,21.0600,32.1600
40,S4,s2,A,Seq_BA,2,0.5500,0.6516,0.5685,30.4900,29.6400
40,S4,s2,A,Seq_BA,3,0.4750,0.6406,0.5685,35.6000,30.8500
40,S4,s2,A,Seq_BA,4,0.5500,0.6172,0.5685,10.7000,46.6300
40,S4,s2,A,Seq_BA,5,0.5000,0.6578,0.5685,22.7300,27.8700
40,S4,s2,A,Seq_BA,6,0.5250,0.6406,0.5685,30.2700,46.8800
40,S4,s2,A,Seq_BA,7,0.5897,0.6250,0.5685,45.9600,32.2000
41,S5,s1,B,Seq_BA,1,0.4500,0.6422,0.7076,18.1200,31.0100
41,S5,s1,B,Seq_BA,2,0.5750,0.7500,0.7076,45.0100,41.1500
41,S5,s1,B,Seq_BA,3,0.6000,0.7047,0.7076,24.6900,32.2400
