subject_id,subject_alias,s1_acc,s2_acc,mean_acc,s1_spectral,s2_spectral,mean_spectral,s1_spatial,s2_spatial,mean_spatial,diff_acc,diff_spectral,diff_spatial,total_improvement,cohort
35,S1,56.72,58.06,57.39,28.76,27.42,28.09,36.17,40.14,38.15,1.34,-1.34,3.97,3.97,Standard
37,S2,77.19,97.4,87.29,46.1,68.19,57.15,33.62,40.76,37.19,20.21,22.09,7.14,49.44,Alt_Controller
38,S3,59.82,59.46,59.64,35.89,44.51,40.2,42.14,39.28,40.71,-0.36,8.62,-2.86,5.4,Standard
40,S4,57.41,56.85,57.13,24.99,28.12,26.56,36.3,35.18,35.74,-0.56,3.12,-1.13,1.43,Standard
41,S5,70.76,68.59,69.68,49.3,44.97,47.13,40.59,48.13,44.36,-2.17,-4.33,7.54,1.04,Standard
42,S6,57.01,56.92,56.96,21.42,32.02,26.72,36.3,34.03,35.16,-0.09,10.6,-2.27,8.24,Standard
43,S7,66.99,66.96,66.97,39.43,55.39,47.41,41.4,44.96,43.18,-0.03,15.96,3.57,19.5,Standard
44,S8,84.26,87.19,85.72,78.56,79.42,78.99,56.41,65.4,60.91,2.93,0.86,8.99,12.78,All_Top
45,S9,61.5,85.29,73.4,44.29,57.94,51.11,44.05,41.01,42.53,23.79,13.65,-3.05,34.39,Standard
47,S10,65.94,58.44,62.19,46.96,39.16,43.06,44.15,32.22,38.19,-7.5,-7.8,-11.93,-27.23,Standard
48,S11,64.64,54.78,59.71,32.34,29.57,30.95,37.08,41.22,39.15,-9.86,-2.77,4.14,-8.49,Standard
50,S12,77.57,76.45,77.01,47.67,62.37,55.02,31.79,32.98,32.39,-1.12,14.7,1.18,14.76,Alt_Controller
51,S13,69.08,63.1,66.09,28.29,41.38,34.84,42.42,47.58,45.0,-5.98,13.09,5.16,12.28,Potential_Learner
52,S14,55.54,57.32,56.43,36.01,37.2,36.6,34.14,44.06,39.1,1.78,1.19,9.92,12.89,Standard
54,S15,64.22,73.02,68.62,19.38,59.41,39.4,37.25,39.45,38.35,8.8,40.03,2.19,51.02,Top_Improved
55,S16,60.87,56.94,58.9,18.48,19.27,18.88,40.41,35.63,38.02,-3.93,0.79,-4.78,-7.92,Standard
57,S17,66.9,61.79,64.34,17.85,33.55,25.7,33.3,41.88,37.59,-5.11,15.7,8.58,19.18,Standard
58,S18,70.58,84.11,77.34,36.69,57.26,46.98,42.37,47.47,44.92,13.53,20.57,5.1,39.19,Standard
63,S19,58.64,77.42,68.03,45.68,64.39,55.03,44.06,61.14,52.6,18.78,18.71,17.07,54.56,Top_Improved
64,S20,76.52,76.27,76.4,52.2,50.14,51.17,54.49,52.53,53.51,-0.25,-2.06,-1.96,-4.27,All_Top
65,S21,61.79,66.29,64.04,27.14,51.26,39.2,44.03,45.96,45.0,4.5,24.13,1.93,30.55,Potential_Learner
68,S22,60.51,58.68,59.6,36.87,35.14,36.0,38.43,45.41,41.92,-1.83,-1.73,6.98,3.42,Standard
69,S23,79.0,92.06,85.53,60.4,35.01,47.71,67.98,69.86,68.92,13.06,-25.39,1.88,-10.45,Standard
70,S24,71.23,83.28,77.26,40.89,75.37,58.13,44.86,72.23,58.55,12.05,34.48,27.37,73.9,All_Top;Top_Improved
